Team_A_Name, Team_A_Status, Team_A_Carry_Name, Team_A_Carry_Hero, Team_A_Mid_Name, Team_A_Mid_Hero,Team_A_Off_Name, Team_A_Off_Hero, Team_A_Support_Name, Team_A_Support_Hero, Team_A_HardSupport_Name, Team_A_HardSupport_Hero,Team_B_Name, Team_B_Status, Team_B_Carry_Name, Team_B_Carry_Hero, Team_B_Mid_Name, Team_B_Mid_Hero, Team_B_Off_Name, Team_B_Off_Hero, Team_B_Support_Name, Team_B_Support_Hero, Team_B_HardSupport_Name, Team_B_HardSupport_Hero,Tier, Time 
Moonlight Wispers, win, Tiamani, Faceless Void, indra, Lina, TeRakudA, Kunkka, BenZzarSi, Vengeful Spirit, Stardust, Rubick, Freedom Fighters, loss, Imissed, Juggernaut, Freedom13, Magnus, Xolli, Death Prophet, Akujin, Bane, All_After_me, Crystal Maiden, 4, 40:36
La Passion, loss, Тиктоник, Marci, moonboyy, Lion, Seeyouinhell, Timbersaw, Sairus, Death Prophet, eshkeree_enjoyer, Spectre, Yakuza, win, Skadi, Rubick, 35street, Mars, Dr0nched In Sw0t, Queen of Pain, vogel, Shadow Shaman, kismet, Drow Ranger, 4, 39:47
4Pirates, win, Otaker, Clinkz, nattynarwhal_, Void Spirit, mister moral, Dawnbreaker, ariel, Rubick, perdan4ik, Undying, AVULUS, loss, Knight~, Ursa, Mo13ei, Puck, Xibbe, Tidehunter, dEsire, Dark Willow, Fly, Shadow Shaman, 2, 29:04
Runa, win, shigetsu, Templar Assassin, Nicky`Cool, Keeper of the Light, mangekyou, Enigma, queezy, Dark Willow, Till the end, Tusk, One Move, loss, WoE, Kunkka, Difference, Death Prophet, Corrupted, Dawnbreaker, Grip, Nature's Prophet, bb3px, Undying, 2, 27:43
diffmakers, win, Arti_Shock, Kunkka, Miyaoo, Queen of Pain, Astral, Shadow Shaman, OneJey, Gyrocopter, kur0patbI4, Warlock, PLATOON 2.0, loss, Egn, Dragon Knight, Sk1tels, Magnus, Kamaara, Dawnbreaker, Akpire, Nature's Prophet, Frosti, Shadow Demon, 4, 37:04
Project Achilles, loss, Scarycrow, Ursa, Ravenn, Shadow Fiend, kitara, Mars, KiritO, Phoenix, ito, Ringmaster, Prime Legion, win, Unirraros, Phantom Assassin, Flastyle, Puck, Exmile, Pudge, Sqeemz, Bane, unnv, Witch Doctor, 4, 37:34
Ghost Sheep, win, k@pib@r@, Lifestealer, CHON, Axe, Тиктоник, Marci, moonboyy, Ancient Apparition, eshkeree_enjoyer, Void Spirit, Air Defence, loss, Kerrigan, Clinkz, aloxa, Clockwerk, kismet, Bristleback, Dr0nched In Sw0t, Puck, supamiq, Lion, 4, 32:23
Passion.ua, loss, Crystallize, Sven, Moonlight, Leshrac, BBODDY, Tidehunter, QBFY, Shadow Shaman, kreker), Snapfire, Wildcard, win, Yamsun, Gyrocopter, RCY, Puck, Fayde, Enigma, Bignum, Bane, Speeed, Naga Siren, 2, 37:30
Nigma Galaxy, loss, Ghost, Terrorblade, Suma1L-, Puck, No!ob™, Lycan, OmaR, Batrider, GH, Undying, NAVIJ, win, gotthejuice, Faceless Void, Niku, Tiny, pma, Bristleback, Zayac, Rubick, Riddys, Warlock, 2, 53:56
CardigansGaming, win, murasame-, Sven, Awaken, Puck, darkke, Dark Seer, gR, Chaos Knight, Sighted, Warlock, molodaya gvardiya, loss, LLlaKaJl, Kunkka, спортик, Ember Spirit, kae, Brewmaster, Şţåňđøfəř, Dark Willow, skitzo, Ancient Apparition, 4, 43:05
La Passion, win, karma , Razor, moonboyy, Ancient Apparition, eshkeree_enjoyer, Slark, bozhepomogi , Windranger, Sairus, Timbersaw, TEIKO, loss, people better than me:nobody~, Templar Assassin, vogel, Bristleback, meow666, Storm Spirit, Dr0nched In Sw0t, Shadow Shaman, yatorrent, Tusk, 4, 40:58
Dominion, win, yvs, Dark Willow, empty, Puck, fizruk, Axe, pasuyu, Tinker, akkiru1, Sven, Air Defence, loss, S4D4UCLO7, Centaur Warrunner, expected, Batrider, emo2003, Pudge, aloxa, Jakiro, Bankai, Ancient Apparition, 4, 60:14
Peacekeepers, win, rpuwok, Dragon Knight, Charliss, Io, K1rbi, Tidehunter, Trick_K, Nature's Prophet, ShyChild, Rubick, Azure Dragons, loss, Alduin, Morphling, Flame, Death Prophet, Bahamut, Void Spirit, Tiamat, Jakiro, Durandal, Zeus, 4, 34:49
BOOM, loss, JACKKY, Terrorblade, Armel, Storm Spirit, Jabz, Dark Seer, TIMS, Slark, Jaunuel, Phoenix, Nemesis, win, Akashi, Tiny, Mac, Death Prophet, Raven^, Kunkka, Jing, Lion, Erice, Mirana, 2, 32:16
CardigansGaming, loss, murasame-, Terrorblade, Awaken, Monkey King, darkke, Kunkka, gR, Windranger, Sighted, Venomancer, diffmakers, win, Arti_Shock, Tiny, Miyaoo, Death Prophet, OneJey, Clinkz, Astral, Tusk, kur0patbI4, Disruptor, 4, 51:53
YeS, win, bottega, Tiny, Mirele, Puck, Infernal, Timbersaw, lyps1on3, Batrider, Xakoda, Death Prophet, Secret, loss, Kiritych~, Abaddon, re1bl, Lina, Cloud, Doom, Thiolicor, Jakiro, Puppey, Mirana, 2, 33:02
Zero Tenacity, loss, Nande, Terrorblade, Mirage`, Kunkka, nefrit, Enigma, Pablo, Disruptor, LeBronDota, Naga Siren, Quan, win, Lukas, Sven, Ainkrad, Queen of Pain, Palantimos, Brewmaster, Yerlan, Rubick, Mary_y, Undying, 2, 38:42
YYF, loss, Agressif, Medusa, Sakata, Death Prophet, Yang, Pangolier, yoona, Earthshaker, RedPanda, Elder Titan, Dy, win, Lou, Sven, Dstones-, Queen of Pain, Maps, Dark Seer, Kaka, Tiny, Dy, Warlock, 3, 42:32
Nethercore, win, people better than me:nobody~, Lifestealer, S4D4UCLO7, Mars, empty, Shadow Fiend, Yuui-, Rubick, yatorrent, Tusk, La Passion, loss, eshkeree_enjoyer, Void Spirit, moonboyy, Lion, bozhepomogi , Windranger, Nuranu, Morphling, Bankai, Centaur Warrunner, 4, 29:21
